config_id,seed,fold,score_alignment,uses_train_only_stats,diagnostic_only,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,delta_gauc_vs_raw,delta_macro_user_auc_vs_raw,delta_global_auc_vs_raw,dev_prediction_mean,dev_prediction_std,between_user_prediction_mean_std
C0p3-sample0p35-cap3000,0,0,dev_user_rank_diagnostic,False,True,0.6679187710470293,0.6682603549815852,0.6274487010476736,0.0,0.0,0.2511614629123213,0.5,0.26526840053129463,0.0
C0p3-sample0p35-cap3000,2026,1,dev_user_rank_diagnostic,False,True,0.7075219142383321,0.7063942357245928,0.6615237764665045,0.0,0.0,0.24114890662964228,0.5,0.26494630726582136,0.0
C0p3-sample0p35-cap3000,2026,2,dev_user_rank_diagnostic,False,True,0.6068454635642136,0.605826812076812,0.5824303543968815,0.0,0.0,0.2545685369953151,0.5,0.26539725160411093,0.0
C0p3-sample0p35-cap3000,2026,3,dev_user_rank_diagnostic,False,True,0.6761234297947585,0.6767448716407051,0.6244598256793379,0.0,0.0,0.2506225737933055,0.5,0.2654616427239515,0.0
C0p3-sample0p35-cap3000,2027,1,dev_user_rank_diagnostic,False,True,0.7307001787598801,0.7307081658420944,0.6741582783755641,0.0,0.0,0.24281499479347451,0.5,0.26494630726582136,0.0
C0p3-sample0p35-cap3000,2027,2,dev_user_rank_diagnostic,False,True,0.6050869182900434,0.6018482443482444,0.583413796802918,0.0,0.0,0.26266852626685255,0.5,0.265397251604111,0.0
C0p3-sample0p35-cap3000,2027,3,dev_user_rank_diagnostic,False,True,0.6521389934851474,0.6566173178673179,0.6072474913938328,0.0,0.0,0.20700578627407895,0.5,0.2654616427239515,0.0
C0p3-sample0p35-cap3000,2028,1,dev_user_rank_diagnostic,False,True,0.7242681613577137,0.7235508572115714,0.6706525511975009,0.0,0.0,0.2356994099271087,0.5,0.26494630726582136,0.0
C0p3-sample0p35-cap3000,2028,2,dev_user_rank_diagnostic,False,True,0.630915404040404,0.6295780608280608,0.599828344598219,0.0,0.0,0.2702499731788434,0.5,0.265397251604111,0.0
C0p3-sample0p35-cap3000,2028,3,dev_user_rank_diagnostic,False,True,0.6634221256598879,0.6647462799546133,0.623434410019776,0.0,0.0,0.26278107375668364,0.5000000000000001,0.2654616427239515,0.0
C0p3-sample0p35-cap3000,2029,1,dev_user_rank_diagnostic,False,True,0.7199800779651525,0.7194634697313268,0.6683963901423117,0.0,0.0,0.24427282193682742,0.5,0.26494630726582136,0.0
C0p3-sample0p35-cap3000,2029,2,dev_user_rank_diagnostic,False,True,0.6088724296536796,0.6081111943611943,0.5921396130601152,0.0,0.0,0.2449665629581948,0.5,0.265397251604111,0.0
C0p3-sample0p35-cap3000,2029,3,dev_user_rank_diagnostic,False,True,0.6886174625685115,0.6900620598537266,0.6374423203691497,0.0,0.0,0.27682560609389883,0.5000000000000001,0.2654616427239515,0.0
C0p3-sample0p35-cap3000,2030,1,dev_user_rank_diagnostic,False,True,0.7303007688828583,0.7327201006665292,0.6794689343977786,0.0,0.0,0.26027421034363074,0.5,0.26494630726582136,0.0
C0p3-sample0p35-cap3000,2030,2,dev_user_rank_diagnostic,False,True,0.6166688086219336,0.61753108003108,0.5935879555126418,0.0,0.0,0.25835926045131075,0.5,0.26539725160411093,0.0
C0p3-sample0p35-cap3000,2030,3,dev_user_rank_diagnostic,False,True,0.6573194288229254,0.6600025745859079,0.6135464733025708,0.0,0.0,0.2551637002856515,0.5,0.2654616427239515,0.0
C0p3-sample0p35-cap3000,0,0,fold_train_zscore,True,False,0.6679187710470293,0.6682603549815852,0.3762872381353522,0.0,0.0,0.0,0.503051572421391,0.21125831769890763,0.20606734324931036
